15465;Хаания;80;Чернокнижник;Тролль
15466;Spectr;80;Друид;Эредар
15467;Сатсуне;80;Паладин;Пандарен(Орда)
15468;Архангел;80;Паладин;Эльф крови
15469;Диссонанс;80;Паладин;Эльф крови
15470;Пахнущийдед;80;Шаман;Гоблин
15471;Zag;80;Чернокнижник;Эредар
15472;Ульдавар;80;Воин;Ворген
15473;Shattercombo;80;Маг;Гоблин
15474;Fobus;80;Паладин;Дворф клана Черного Железа
15475;Collegeboyy;80;Паладин;Пандарен(Орда)
15476;Biroen;80;Воин;Гоблин
15477;Настякиса;80;Друид;Ночной эльф
15478;Tikkii;80;Паладин;Ночной эльф
15479;Рику;80;Чернокнижник;Эльф крови
15480;Deathdemise;80;Охотник;Эльф бездны
15481;Sexyholly;80;Паладин;Ночнорожденный
15482;Catafalque;80;Паладин;Ночной эльф
15483;Диаманд;80;Шаман;Эредар
15484;Отморозок;80;Друид;Эредар
15485;Kvayter;80;Охотник;Тролль
15486;Keiner;80;Воин;Дреней
15487;Lowcontrol;80;Маг;Нежить
15488;Redz;80;Воин;Орк
15489;Essence;80;Шаман;Эредар
15490;Стэлси;80;Шаман;Эредар
15491;Darkmad;80;Паладин;Пандарен(Орда)
15492;Qool;80;Разбойник;Ночной эльф
15493;Азейн;80;Паладин;Эльф крови
15494;Kirigaya;80;Воин;Человек
15495;Evidence;80;Охотник;Ночной эльф
15496;Giglipyf;80;Шаман;Нежить
15497;Святойпенёк;80;Друид;Ночной эльф
15498;Обжорство;80;Жрец;Эредар
15499;Холоп;80;Паладин;Человек
15500;Лерм;80;Друид;Ночнорожденный
15501;Молниеносный;80;Паладин;Пандарен(Орда)
15502;Illailes;80;Жрец;Эредар
15503;Angel;80;Жрец;Эльф бездны
15504;Lehunter;80;Охотник;Ночной эльф
15505;Sandwolker;80;Охотник;Эльф бездны
15506;Attention;80;Маг;Ночной эльф
15507;Flexc;80;Паладин;Эредар
15508;Sappmyeyesqq;80;Разбойник;Нежить
15509;Hydraqt;80;Друид;Пандарен(Альянс)
15510;Куртакобейна;80;Охотник;Эльф крови
15511;Frau;80;Паладин;Дреней
15512;Щепка;80;Друид;Ночной эльф
15513;Molag;80;Чернокнижник;Эредар
15514;Wowbro;80;Воин;Человек
15515;Гродос;80;Паладин;Эредар
15516;Ирония;80;Жрец;Гоблин
15517;Школьник;80;Разбойник;Ночной эльф
15518;Макита;80;Охотник;Ворген
15519;Sonofthehell;80;Чернокнижник;Тролль
15520;Nerevarine;80;Паладин;Тролль
15521;Justbestpvp;80;Паладин;Эредар
15522;Fenstolor;80;Шаман;Высший эльф
15523;Суф;80;Друид;Ночной эльф
15524;Котбегемот;80;Друид;Эредар
15525;Случай;80;Паладин;Эльф крови
15526;Катапульта;80;Паладин;Орк
15527;Копытомврожу;80;Шаман;Таурен
15528;Полюшка;80;Чернокнижник;Эредар
15529;Анбаф;80;Шаман;Эльф крови
15530;Purplejuice;80;Разбойник;Нежить
15531;Veohil;80;Паладин;Нежить
15532;Sadism;80;Чернокнижник;Эредар
15533;Anarchist;80;Рыцарь смерти;Нежить
15534;Сэйю;80;Воин;Дворф клана Черного Железа
15535;Фоси;80;Шаман;Эльф крови
15536;Жэнёк;80;Рыцарь смерти;Гоблин
15537;Берёвнышко;80;Друид;Ночной эльф
15538;Нечаянно;80;Друид;Тролль
15539;Вандам;80;Чернокнижник;Ночной эльф
15540;Крутойрога;80;Разбойник;Вульпера(Орда)
15541;Тимолейн;80;Друид;Эльф крови
15542;Qxyzp;80;Маг;Ночной эльф
15543;Муайтай;80;Паладин;Орк
15544;Borza;80;Паладин;Эльф крови
15545;Roz;80;Паладин;Пандарен(Альянс)
15546;Sakro;80;Чернокнижник;Эредар
15547;Прихопат;80;Жрец;Нежить
15548;Киберорган;80;Разбойник;Ночной эльф
15549;Jinny;80;Охотник;Ночной эльф
15550;Ваз;80;Рыцарь смерти;Эльф бездны
15551;Необижайтесь;80;Рыцарь смерти;Эредар
15552;Bondurand;80;Чернокнижник;Эредар
15553;Organella;80;Жрец;Человек
15554;Уединение;80;Рыцарь смерти;Эредар
15555;Ямерт;80;Воин;Дворф
15556;Дартэбрис;80;Рыцарь смерти;Нежить
15557;Дикарь;80;Рыцарь смерти;Нежить
15558;Winessa;80;Жрец;Эльф бездны
15559;Lakseant;80;Маг;Нежить
15560;Букляпоттер;80;Друид;Тролль
15561;Vvarrior;80;Воин;Таурен
15562;Санчиз;80;Охотник;Вульпера(Альянс)
15563;Ааз;80;Рыцарь смерти;Эредар
15564;Centenario;80;Друид;Таурен
15565;Вариоо;80;Воин;Тролль
15566;Юмуша;80;Паладин;Нежить
15567;Sankt;80;Жрец;Эредар
15568;Всехлюблю;80;Шаман;Эльф бездны
15569;Altdelete;80;Воин;Эредар
15570;Атл;80;Рыцарь смерти;Эльф бездны
15571;Anzaim;80;Паладин;Высший эльф
15572;Кусьпока;80;Друид;Нежить
15573;Мертваялуна;80;Жрец;Ночнорожденный
15574;Пунька;80;Паладин;Таурен
15575;Mair;80;Рыцарь смерти;Нежить
15576;Apocallipsis;80;Рыцарь смерти;Эльф крови
15577;Smartwar;80;Воин;Вульпера(Орда)
15578;Оскверненный;80;Рыцарь смерти;Эредар
15579;Redwillow;80;Чернокнижник;Эредар
15580;Nemesida;80;Паладин;Ночной эльф
15581;Загагулина;80;Маг;Эредар
15582;Ирландец;80;Рыцарь смерти;Эредар
15583;Посредникх;80;Жрец;Нежить
15584;Chosenone;80;Рыцарь смерти;Нага
15585;Гарумин;80;Маг;Вульпера(Орда)
15586;Blackich;80;Маг;Эредар
15587;Bloodraven;80;Чернокнижник;Эредар
15588;Фоуст;80;Шаман;Орк
15589;Ракамакафо;80;Жрец;Пандарен(Орда)
15590;Амбушвдушу;80;Разбойник;Гоблин
15591;Nextgen;80;Шаман;Гоблин
15592;Captainbongo;80;Воин;Гоблин
15593;Ozzyhunter;80;Охотник;Нежить
15594;Iegalize;80;Рыцарь смерти;Эредар
15595;Animenik;80;Чернокнижник;Вульпера(Орда)
